Image,nfeatures,noctave,contthresh,edgethresh,sigma,good_matches,bad_matches,proportion_good_matches
Boston,100,3,0.04,10.0,1.9,62,38,0.62
Boston,100,4,0.04,10.0,1.9,63,37,0.63
Boston,100,5,0.04,10.0,1.9,58,42,0.58
Boston,100,6,0.04,10.0,1.9,60,40,0.6
Boston,80,4,0.06,10.0,1.9,50,30,0.625
Boston,100,4,0.06,10.0,1.9,63,37,0.63
Boston,150,4,0.06,10.0,1.9,90,60,0.6
Boston,200,4,0.06,10.0,1.9,107,93,0.535
Boston,100,4,0.04,10.0,1.9,63,37,0.63
Boston,100,4,0.06,10.0,1.9,63,37,0.63
Boston,100,4,0.08,10.0,1.9,63,37,0.63
Boston,100,4,0.1,10.0,1.9,63,37,0.63
Boston,100,4,0.06,5.0,1.9,59,41,0.59
Boston,100,4,0.06,10.0,1.9,63,37,0.63
Boston,100,4,0.06,15.0,1.9,67,34,0.6633663366336634
Boston,100,4,0.06,20.0,1.9,69,31,0.69
Boston,100,4,0.06,20.0,1.7,61,40,0.6039603960396039
Boston,100,4,0.06,20.0,1.9,69,31,0.69
Boston,100,4,0.06,20.0,2.1,66,34,0.66
Boston,100,4,0.06,20.0,2.3,59,42,0.5841584158415841
Boston,100,4,0.06,20.0,1.9,69,31,0.69
Boston,100,4,0.06,20.0,1.9,69,31,0.69
