Image,nfeatures,noctave,contthresh,edgethresh,sigma,good_matches,bad_matches,proportion_good_matches
MountRushmore,100,3,0.04,10.0,1.9,9,91,0.09
MountRushmore,100,4,0.04,10.0,1.9,12,88,0.12
MountRushmore,100,5,0.04,10.0,1.9,11,89,0.11
MountRushmore,100,6,0.04,10.0,1.9,9,92,0.0891089108910891
MountRushmore,80,4,0.06,10.0,1.9,10,70,0.125
MountRushmore,100,4,0.06,10.0,1.9,12,88,0.12
MountRushmore,150,4,0.06,10.0,1.9,19,131,0.12666666666666668
MountRushmore,200,4,0.06,10.0,1.9,22,178,0.11
MountRushmore,80,4,0.04,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.06,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.08,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.1,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.04,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.06,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.08,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.1,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.06,5.0,1.9,13,67,0.1625
MountRushmore,80,4,0.06,10.0,1.9,10,70,0.125
MountRushmore,80,4,0.06,15.0,1.9,12,69,0.14814814814814814
MountRushmore,80,4,0.06,20.0,1.9,10,71,0.12345679012345678
MountRushmore,80,4,0.06,5.0,1.7,6,75,0.07407407407407407
MountRushmore,80,4,0.06,5.0,1.9,13,67,0.1625
MountRushmore,80,4,0.06,5.0,2.1,10,70,0.125
MountRushmore,80,4,0.06,5.0,2.3,11,69,0.1375
MountRushmore,80,4,0.06,5.0,1.9,13,67,0.1625
