Image,nfeatures,noctave,contthresh,edgethresh,sigma,good_matches,bad_matches,proportion_good_matches
NotreDame,100,3,0.04,10.0,1.9,13,88,0.12871287128712872
NotreDame,100,4,0.04,10.0,1.9,17,83,0.17
NotreDame,100,5,0.04,10.0,1.9,10,90,0.1
NotreDame,100,6,0.04,10.0,1.9,23,77,0.23
NotreDame,80,6,0.06,10.0,1.9,4,76,0.05
NotreDame,100,6,0.06,10.0,1.9,23,77,0.23
NotreDame,150,6,0.06,10.0,1.9,18,133,0.11920529801324503
NotreDame,200,6,0.06,10.0,1.9,35,167,0.17326732673267325
NotreDame,100,6,0.04,10.0,1.9,23,77,0.23
NotreDame,100,6,0.06,10.0,1.9,23,77,0.23
NotreDame,100,6,0.08,10.0,1.9,23,77,0.23
NotreDame,100,6,0.1,10.0,1.9,23,77,0.23
NotreDame,100,6,0.06,5.0,1.9,26,75,0.25742574257425743
NotreDame,100,6,0.06,10.0,1.9,23,77,0.23
NotreDame,100,6,0.06,15.0,1.9,24,76,0.24
NotreDame,100,6,0.06,20.0,1.9,23,77,0.23
NotreDame,100,6,0.06,5.0,1.7,10,90,0.1
NotreDame,100,6,0.06,5.0,1.9,26,75,0.25742574257425743
NotreDame,100,6,0.06,5.0,2.1,12,89,0.1188118811881188
NotreDame,100,6,0.06,5.0,2.3,8,92,0.08
NotreDame,100,6,0.06,5.0,1.9,26,75,0.25742574257425743
